Abandon;TERK ETMEK
Haste;HIZ, ACELE
Hat;ŞAPKA
Hate;NEFRET
Have;SAHİP OLMAK
Hawk;1.ATMACA 2.EL ARABASIYLA SATMAK, SEYYAR SATICILIK
Hazard;TEHLİKE, RİSK
Head;BAŞ, KAFA
Head Quarters;MERKEZ,KARARGAH
Headache;BAŞ AĞRISI
Headline;BAŞLIK (Gazetede)
Headphone;KULAKLIK
Health;SAĞLIK
Healthy;SAĞLIKLI
Hear;DUYMAK
Heart;1.KALP  2.KUPA (oyun kartlarında)
Heat;ISI
Heater;ISITICI
Heaven;CENNET
Heavy;AĞIR
Hectare;HEKTAR
Heel;TOPUK
Height;YÜKSEKLİK
Heir;MİRASÇI
Hell;CEHENNEM
Help;YARDIM, YARDIM ETMEK
Hen;DİŞİ KUŞ, PİLİÇ
Here;BURASI, BURADA, BURAYA
Heritage;MİRAS
Hero;KAHRAMAN
Hesitate;DURAKSAMAK, TEREDDÜT ETMEK
Hiccup;HIÇKIRIK
Hide;SAKLANMAK, SAKLAMAK
High;YÜKSEK
Hijack;KORSANLIK YAPMAK (uçak,araba,v.s.)
Hijacker;KORSAN, EŞKIYA
Hill;TEPE, YOKUŞ
Hinge;1)MENTEŞE 2)DAYANAK NOKTASI, DESTEK, ESAS
Hire;KİRALAMAK (taşınabilir nesneleri,araba,TV, v.b )
History;TARİH
Hit;DARBE, ÇARPMAK, POPÜLER (hit)
Hitch-Hike;OTOSTOP YAPMAK
Hobby;HOBİ
Hold;TUTMAK, KAVRAMAK
Hold On;BEKLE
Hole;DELİK
Holiday;TATİL GÜNÜ
Hollow;BOŞ (bir cismin arkası boş olması davul,duvar v.b)
Holy;KUTSAL
Home;EV, YUVA
Homesick;SILA HASRETİ
Honest;DÜRÜST
Honey;BAL
Honeymoon;BALAYI
Honour;ONUR
Hook;ÇENGEL, KANCA
Hop;SIÇRAMAK, ZIPLAMAK ,SEKMEK
Hope;UMUT
Hopeless;UMUTSUZ
Horizon;UFUK
Horizontal;YATAY
Horn;1.BOYNUZ 2.KORNA
Horrible;KORKUNÇ
Horse;AT
Hose;HORTUM
Hospital;HASTANE
Host;EV SAHİBİ (konukları olan)
Hostage;ESİR, REHİNE
Hostel;ÖĞRENCİ, TURİST KONAKLAMA YERİ
Hot;1.SICAK 2.ACI ( yemekte )
Hotel;OTEL
Hour;SAAT
Hourly;SAAT BAŞI
House;EV
Housewife;EV HANIMI
Hover;HAVADA KALMAK
How;NASIL
However;HER ŞEKİLDE
Hubbub;GÜRÜLTÜ
Hug;SARILMAK,KUCAKLAMAK
Huge;ÇOK BÜYÜK
Hum;VIZILDAMAK, DUDAK KAPALI ŞARKI SÖYLEMEK
Human;İNSAN, BEŞERİ
Humble;ALÇAK GÖNÜLLÜ
Humour;GÜLDÜRÜ, MİZAH
Hungry;AÇ
Hunt;AVLAMAK
Hurry;ACELE ETMEK
Hurt;YARALAMAK, YARALANMAK
Husband;KOCA, ERKEK EŞ
Hush;SAKİNLİK,SESSİZLİK,SUS
Hut;KULÜBE, BARAKA
Ice;BUZ
Ice-Cream;DONDURMA
Icy;ÇOK SOĞUK, BUZLU
Idea;FİKİR
Ideal;YETKİN, İDEAL
Identical;ÖZDEŞ, ÇOK BENZEYEN, AYNI
Identify;BELİRLEMEK, TANIMLAMAK, TANIMAK, BELİRTMEK
Idiot;APTAL
Idle;ATIL, BOŞ
If;EĞER
Ignition;1)TUTUŞMA, ATEŞLEME, ATEŞ ALMA 2)ATEŞLEME TERTİBATI
Ignore;ÖNEMSEMEMEK
Ill;HASTA, HASTALIK
Illegal;KANUNSUZ
Illustrate;RESİMLE GÖSTERMEK
Image;HAYAL, İMAJ
Imagination;TASAVVUR, HAYAL
Imagine;TASAVVUR ETMEK, HAYAL ETMEK
Imitate;ÖRNEK ALMAK, TAKLİT ETMEK
Imitation;TAKLİT
Immediate;ANINDA, DERHAL
Immense;ÇOK BÜYÜK
Immigrate;GÖÇMEN
Immoral;AHLAKSIZ, EDEPSİZ
Impair;BOZMAK
Impatient;SABIRSIZ
Implement;1)YÜRÜRLÜĞE KOYMAK 2)ALET
Imply;İMA ETME
Impolite;KABA, NAZİK DEĞİL
Import;İTHAL ETMEK
Importance;ÖNEM
Important;ÖNEMLİ
Impossible;OLANAKSIZ
Impress;ETKİLEMEK
Impress;ETKİLEMEK
Impression;ETKİ
Impressive;ETKİLİ,ETKİLEYİCİ
Improve;GELİŞMEK, İYİYE GİTMEK
Improvement;GELİŞME
In;1.İÇİNDE, İÇERİ, İÇERDE, İÇERİYE  2.POPÜLER
In Order To;AMACIYLA, MAKSADIYLA
Incentive;TEŞVİK
Incident;OLAY (önemsiz olay)
Incidentally;BUNUN YANINDA (=By the way)
Include;KAPSAMAK
Income;GELİR
Incorrect;HATALI, YANLIŞ
Increase;ARTMAK
Incredible;İNANILMAZ, BÜYÜLEYİCİ
Indeed;GERÇEKTEN
Indefinite;BELİRSİZ
Indefinitely;SONSUZ, SÜRESİZ
Indemnify;1)TAZMİNAT ÖDEMEK, SÖZ VERMEK, ZARARI KARŞILAMAK
Indemnity;TAZMİNAT
Independent;BAĞIMSIZ
Index;İNDEX
Indicate;GÖSTERMEK, İŞARET ETMEK
Individual;AYRI, BİREY, FERT, KİMSE
Indoor;EV İÇİNDE, İÇERDE
Indorse;ÇEKİ CIRO ETMEK,ONAYLAMAK
Industry;ENDÜSTRİ
Inevitable;KAÇINILMAZ, HERHALDE OLAN
Inferior;AŞAĞILIK
Infinite;SONSUZ
Inflammable;ATEŞ ALABİLİR
Inflate;ŞİŞMEK
Inflation;ENFLASYON
Inflexible;EĞİLMESİ ZOR, BÜKÜLMEZ, İNATÇI
Influence;ETKİ, ETKİLEMEK
Inform;BİLGİ VERMEK
Informal;RESMİ OLMAYAN,GAYRI RESMİ
Information;BİLGİ, ENFORMASYON
Initial;İLK HARF, BİRİNCİ, BAŞTAKİ,PARAF
Initiative;İLK HAREKET,BAŞLATMA,İNSİYATİF(Take the initiative)
Inject;ŞIRINGA YAPMAK
Injure;İNCİTMEK
Ink;MÜREKKEP
Inn;1.HAN  2.MOTEL
Innocent;SUÇSUZ, MASUM
Inquire;ARAŞTIRMAK
Inquiry;SORU
Insect;BÖCEK
Insecure;EMNİYETSİZ
Inside;İÇERİSİ
Insist;ISRAR ETMEK
Insolvent;MÜFLİS
Inspect;İNCELEMEK
Inspector;MÜFETTİŞ
Inspire;AKLA, FİKRE GETİRME, ESİNLEME, İLHAM GELMESİ
Install;YERLEŞTİRMEK
Instance;ÖRNEK
Instant;HIZLI,DERHAL
Instead Of;YERİNE
Institute;ENSTİTÜ,KURULUŞ
Instruction; YÖNERGE,TALİMAT
Instrument;ENSTRÜMAN
Insulate;İZOLE ETMEK
Insult;HAKARET ETME, ONUR KIRMA
Intangible;MANEVİ,MADDİ OLMAYAN,INTANGIBLE ASSET=MADDİ,VARLIK
Intelligent;ZEKİ
Intend;PLANLAMAK, MAKSAT, NİYET
Intense;DERİN ÜZÜNTÜ, GÜÇLÜ DUYGU
Intensive;YOĞUN (Labour intensive:Emek yoğun)
Intention;PLAN
Interest;1.İLGİ DUYMAK, ENTERESE OLMAK 2. FAİZ
Interesting;İLGİNÇ
Interfere;1)KARIŞMA MÜDAHELE ETME 2)PARAZİT YAPMA (tv,radyo)
Intermediate;ARADA
International;ULUSLARARASI
Interpret;ÇEVİRİ, YORUMLAMAK
Interrupt;DURDURMAK, KESMEK(bir süre için), ARAYA GİRMEK
Interval;ARALIK, ARA
Interview;RÖPORTAJ, GÖRÜŞME
Intestines;BAĞIRSAKLAR
Into;İÇİNE
Introduce;TANIŞTIRMAK
Invade;İSTİLA ETMEK
Invalid;GEÇERSİZ
Invent;İCAT ETMEK, YARATMAK
Invest;YATIRIM YAPMAK
Investigate;ARAŞTIRMA YAPMAK,ÇALIŞMAK
Invite;DAVET ETMEK
Invoice;FATURA
Involve;İŞE DALMAK,KARIŞMAK,GEREKTİRMEK,İÇERMEK
Iron;1.DEMİR  2.ÜTÜ
Ironically;TAM AKSİ OLMA,İNADINA(İnadına tatilde yağmur yağdı.)
Irregular;DÜZENSİZ
Irritate;KIZDIRMAK, SİNİRLENDİRMEK, TAHRİŞ ETMEK (deri vb.)
Island;ADA
Issue;1.BASKI 2.KONU 3.VERMEK
It;O (cansız ve üçüncü tekil şahıs zamiri)
Itch;KAŞINDIRMAK
Item;BİRİM
Jack;1)KRİKO 2)VALE (Oyun kağıdında) 3)TORPİL YAPTIRMAK
Jackal;ÇAKAL
Jacket;CEKET
Jaguar;JAGUAR
Jail;HAPİS
Jam;1.REÇEL 2.SIKIŞIKLIK  (tfaffic jam )
January;OCAK ( ayı )
Jar;KAVANOZ
Jaw;1.ÇENE KEMİĞİ  2.ÇENE ÇALMAK,KONUŞMAK
Jazz;CAZ
Jealous;KISKANÇ
Jeans;JİN, KOT PANTOLON (Pamuklu)
Jelly;JÖLE
Jellyfish;DENİZANASI, MEDÜS, SU MEDÜSÜ
Jet;JET, FIŞKIRMAK
Jewel;MÜCEVHER
Job;İŞ
Jockey;COKEY
Join;BİRLEŞTİRMEK, BİRLEŞMEK
Joint;BİRLEŞİK
Joke;ŞAKA
Jolly;ÇOK
Journal;GAZETE,DERGİ
Journalist;GAZETECİ
Journey;YOLCULUK
Joy;MUTLULUK,EĞLENCE
Jubilee;JÜBİLE
Judge;1.HAKİM  2.YARGILAMAK
Judgement;YARGI
Juice;SU (meyve suyu v.s.)
July;TEMMUZ
Jump;SIÇRAMAK, ATLAMAK
June;HAZİRAN
Jury;JÜRİ
Just;1.YALNIZ  2.HEMEN ŞİMDİ
Justice;ADALET
Keen;KESKİN (Keen on:hoşlanmak)
Keep;KORUMAK, TUTMAK, DEVAM ETMEK
Ketchup;KETÇAP
Key;ANAHTAR
Kick;TEKME, TEKMELEMEK
Kid;1.ÇOCUK  2.DALGA GEÇMEK  3.GENÇ KEÇİ
Kidnap;ZORLA KAÇIRMAK (İnsan, hayvan vb.)
Kidney;BÖBREK
Kill;ÖLDÜRMEK
Kin;AİLE, AKRABA
Kind;1. İYİ, DOST, SEVGİLİ 2.ÇEŞİT, TÜR
King;KRAL
Kingdom;KRALLIK
Kiss;ÖPÜCÜK, ÖPMEK
Kitchen;MUTFAK
Knee;DİZ, DİZ ÇÖKMEK
Knife;BIÇAK
Knight;SİLAHŞÖR, ŞOVALYE, SATRANÇTA AT
Knob;TOKMAK, TUTACAK
Knock;VURMAK (kapıya vurmak)
Knot;DÜĞÜM, DÜĞÜM ATMAK
Know;BİLMEK
Knowledge;BİLGİ
Label;ETİKET
Laboratory;LABORATUVAR
Labour;İŞ(elle yapılan zor iş),İŞGÜCÜ
Lack;EKSİKLİK
Ladder;MERDİVEN
Ladle;KEPÇE (Yemek)
Lady;HANIMEFENDİ
Lake;GÖL
Lamb;KUZU, KUZU, KOYUN ETİ
Lame;TOPAL
Lamp;LAMBA
Lamppost;SOKAK LAMBASI
Lampshade;ABAJUR
Land;KARA,ARAZİ
Land;İNİŞ YAPMAK, KONMAK (uçak v.s.)
Landlady;EVSAHİBİ BAYAN, EVİNİ KİRAYA VEREN
Lane;DAR YOL, ŞERİT (Oto yolda vb.)
Language;DİL ( yabancı dil v.b )
Large;GENİŞ
Lash;KAMÇI, BİRŞEYİ ANİ VE HIZLI SALLAMAK
Last;SON, SONUNDA, GEÇMİŞ
Last;DEVAM ETMEK, SÜRMEK, YETERLİ OLMAK
Late;1.GEÇ  2.SONU (late september=eylül sonu v.b)
Laugh;GÜLMEK
Launch;BİRŞEYE BAŞLAMAK, ROKET FIRLATMAK
Laundry;YIKANACAK ÇAMAŞIR, ÇAMAŞIRHANE
Laundry-Basket;ÇAMAŞIR SEPETİ
Lavatory;TUVALET
Law;YASA, KANUN
Lawful;YASAL
Lawyer;AVUKAT
Lay;KOYMAK(bir şeyin üstüne), YATIRMAK
Lazy;TEMBEL
Lead;1.KURŞUN (metal)  2.KURŞUN KALEM UCU
Lead;ÖNDERLİK ETMEK,ÖNDE GİTMEK,  YOL GÖSTERMEK
Leader;ÖNDER, LİDER
Leadership;ÖNDERLİK
Leaf;YAPRAK
League;BİRLİK, LİG
Leak;AKINTI, SIZMAK
Lean;1.İNCE, YAĞSIZ 2.EĞİLMEK YASLANMAK
Learn;ÖĞRENMEK
Lease;BELİRLİ BİR ZAMAN İÇİN KİRALAMA
Least;EN AZ
Leather;DERİ
Leave;TERK ETMEK
Lecture;DERS, KONFERANS VERMEK
Left;1.SOL 2.KALAN
Leg;BACAK
Legacy;MİRAS
Legal;YASAL
Lemon;LİMON
Lend;ÖDÜNÇ VERMEK
Length;UZUNLUK
Lens;LENS
Less;DAHA AZ
Lesson;DERS
Let;BIRAKMAK
Letter;MEKTUP, HARF
Letter Box;MEKTUPLUK
Lettuce;SALATA, KIVIRCIK
Level;DÜZEY, SEVİYE
Lever;KALDIRAÇ, MANİVALA
Liar;YALANCI
Liberal;LİBERAL
Liberty;SERBEST OLMAK
Library;KİTAPLIK, KÜTÜPHANE
Licence;LİSANS (ehliyet v.b )
Lick;YALAMAK
Lid;KAPAK
Lie;YALAN, YALAN SÖYLEMEK
Lie;YATMAK
Life;YAŞAM, HAYAT
Lift;1.ASANSÖR 2.YUKARI KALDIRMAK
Light;1.IŞIK 2.AÇIK (renklerde) 3.HAFİF
Lighter;ÇAKMAK
Like;1. HOŞLANMAK  2.GİBİ
Likely;BÜYÜK OLASILIKLA
Limit;HAT, SINIR, LİMİT
Line;ÇİZGİ, SATIR, SIRA
Link;BİRLEŞTİRMEK
Lip;DUDAK
Liquid;SIVI
Liquidate;TASFİYE ETMEK, ÖLDÜRME, KURTULMAK, BAŞINDAN ATMAK
List;LİSTE
Listen;DİNLEMEK
Literature;EDEBİYAT
Litter;ÇÖP,DAĞINIKLIK
Little;KÜÇÜK
Live;CANLI
Live;YAŞAMAK
Liver;KARACİĞER
Lives;YAŞAMLAR
Living;YAŞAM BİÇİMİ
Load;YÜK, YÜKLEMEK,SİLAH DOLDURMAK
Loaf;BÜTÜN EKMEK, VAKTİ BOŞA GEÇİRMEK
Loan;ÖDÜNÇ VERMEK, BORÇ VERMEK, BORÇ
Lobster;İSTAKOZ
Local;BÖLGESEL, YEREL
Locate;KURMAK,YERLEŞTİRMEK
Lock;KİLİTLEMEK, KİLİT
Lonely;YALNIZ, KİMSESİZ
Long;UZUN
Look;BAKMAK, BAKIŞ
Loose;BOL, BAĞSIZ
Lorry;KAMYON
Lose;KAYBETMEK
Loss;KAYIP, ZARAR
Lot;ÇOK
Loud;YÜKSEK SESLİ
Love; SEVGİ,AŞK
Lovely;SEVİMLİ
Low;ALÇAK, DÜŞÜK
Lower;AŞAĞIYA İNDİRMEK
Loyal;SADIK
Loyalty;SADAKAT,BAĞLILIK
Luck;ŞANS
Lucky;ŞANSLI
Luggage;VALİZ, YÜK
Lunch;ÖĞLE YEMEĞİ
Lung;AKCİĞER
Luxury;LÜKS
Machine;MAKİNE
Machine-Gun;MAKİNELİ TÜFEK
Mad;DELİ
Madam;MADAM, BAYAN
Magazine;1)SİLAH DEPOSU 2)MAGAZİN 3)ŞARJÜR (SİLAHIN)
Magic;BÜYÜ
Magnet;MIKNATIS
Magnificent;AZAMET, İHTİŞAM
Magnifying-Glass;BÜYÜTEÇ
Maid;KADIN HİZMETÇİ
Mail;POSTA
Main;ANA, ESAS
Maintain;1)BAKIM ONARIM 2)ESKİ HALİNDE KORUMA 3)DESTEKLEME
Major;1)BÜYÜK, ÖNEMLİ 2)BİNBAŞI (ORDUDA)
Majority;ÇOĞUNLUK
Make;1.YAPMAK  2.ÇEŞİT
Make-Up;1.MAKYAJ  2.UYDURMAK
Male;ERKEK
Man;ADAM
Manage;YÖNETMEK, KONTROL ETMEK
Management;YÖNETİM, İDARE
Manager;YÖNETİCİ, MENAJER
Maniac;MANYAK
Manner;TAVIR, GÖRGÜ
Manual;EL İLE YAPILAN
Manufacture;ÜRETMEK (Fab. vb)
Many;BİRÇOK
Map;HARİTA
March;1.MARŞ 2.YÜRÜYÜŞ 3.MART (ayı)
Margin;MARJ, KATKI
Mark;İŞARETLEMEK, İŞARET
Market;PAZAR, PİYASA
Marmalade;MARMELAT
Marry;EVLENMEK
Marvellous;ŞAHANE, HARİKA
Mask;MASKE
Mass;KÜTLE, KİTLE, KALABALIK
Massacre;KATLİAM, KATLİAM YAPMAK
Massive;ÇOK BÜYÜK VE AĞIR
Master;UZMAN, ŞEF, SAHİP, HOCA
Mat;HASIR, PASPAS
Match;1.UYMAK, UYUŞMAK 2.MAÇ 3.KİBRİT
Mate;ARKADAŞ
Material;MALZEME, KUMAŞ
Mathematics;MATEMATİK
Matter;1.MESELE  2.ÖNEMLİ OLMAK
Mattress;YATAK, SEDİR
Mature;1)OLGUN,ERGİN(Hayvan,meyve,insan)2)VADESİ GELEN(Ödem
Maturity;OLGUNLUK ZAMANI, VADE ZAMANI
Maximum;MAKSİMUM, AZAMİ
May;1.MAYIS 2.MAY BE = BELKİ
Me;BANA, BEN
Meadow;ÇAYIR, MERA
Meal;YEMEK
Mean;1.ANLAMINA GELMEK,İSTEMEK,PLANLAMAK 2.CİMRİ
Mean;ORTALAMA
Meaning;ANLAM
Means;1.STİL, YOL, YARDIM  2.PARA
Meantime;BU ARADA
Meanwhile;BU ARADA, AYNI ANDA
Measure;ÖLÇÜ
Meat;ET
Mechanic;MEKANİK
Mechanic;1)MAKİNİST,MAKİNA USTASI2)EL SANATLARINA AİT3)MEKANİ
Medal;MADALYA
Medical;TIBBİ
Medicine;İLAÇ, TIP
Meet;BULUŞMAK, KARŞILAMAK
Meeting;TOPLANTI, MİTİNG
Melody;EZGİ, MELODİ
Melon;KAVUN
Melt;ERİMEK
Member;ÜYE
Memorable;UNUTULMAYACAK
Memorandum;NOT
Memorial;BİR KİŞİNİN ANISINA YAPILAN YAPIT
Memorize;EZBERLEMEK
Memory;HAFIZA
Men;ADAMLAR
Mend;TAMİR ETMEK
Mental;ZİHİNSEL
Mention;BAHSETMEK
Merchant;TÜCCAR
Mercy;MERHAMET
Mere;SADECE,YALNIZCA
Merely;SADECE, ANCAK
Merge;BİRLEŞEREK KAYBOLMA, KONSOLİDASYON (Şirket, devlet)
Merit;HAKETMEK, DEĞMEK
Merry;MUTLU
Mess;KARGAŞALIK,DAĞINIKLIK
Message;MESAJ
Metal;METAL
Meter;ÖLÇEK
Method;METOT
Metre;METRE
Mice;FARELER
Middle;ORTA
Midnight;GECE YARISI (24:00)
Might;1)KUVVET,KUDRET 2)BELKİ (Might be:Az ihtimalli.)
Mike;MİKROFON
Mild;1)HAFİF 2)YUMUŞAK 2)ILIK
Military;ASKERİ
Milk;SÜT
Mill;1.DEĞİRMEN 2.İMALATHANE
Millet;DARI
Millionaire;MİLYONER
Mimic;TAKLİT ETMEK (birini)
Mince;KIYMA (Et vb.), KIYMAK
Mind;AKIL
Mind;BİRİNE BAKMAK,DERT ETMEK
Mine;1.BENİM 2.MADEN OCAĞI 3.MAYIN
Minimum;ENAZ
Minister;1.BAKAN 2.BÜYÜKELÇİ YARDIMCISI
Minor;ÖNEMSİZ, UFAK, MİNÖR
Minority;AZINLIK
Minus;EKSİ  ( - )
Minute;1.DAKİKA 2.ÇOK KÜÇÜK 3.ZABIT
Miracle;MUCİZE
Mirror;AYNA
Miser;HASİS, CİMRİ
Miserable;SEFİL
Misery;SEFALET
Mislay;NEREYE KOYDUĞUNU UNUTMAK
Miss;1.ÖZLEMEK 2.KAÇIRMAK,KAYIP
Miss;BAYAN
Missile;FÜZE, FIRLATILAN CİSİM
Mission;ÖZEL BİR GÖREV İÇİN YOLCULUK,MİSYON
Mistake;HATA
Misunderstand;YANLIŞ ANLAMAK
Mix;KARIŞTIRMAK, KARIŞMAK
Mobile;OYNAK,HAREKETLİ
Model;MODEL (model araba,manken v.b)
Moderate;ILIMLI, ORTADA
Modern;MODERN, ÇAĞDAŞ
Modest;ALÇAKGÖNÜLLÜ, ILIMLI
Moisture;NEM
Mole;1)KÖSTEBEK 2)VÜCUTTAKİ BEN
Moment;AN
Monday;PAZARTESİ
Money;PARA
Monkey;MAYMUN
Month;AY (takvim ayı)
Monument;ANIT, ABİDE
Mood;MİZAÇ, RUH HALİ
Moon;AY
Moral;AHLAK
Morale;MORAL
More;DAHA FAZLA
Morning;SABAH
Mortgage;İPOTEK
Mosque;CAMİ
Mosquito;SİVRİSİNEK
Moss;YOSUN (Nemli yerlerde oluşan)
Most;EN ÇOK
Mother;ANNE
Motion;HAREKET, ÖNERME
Motive;1)MOTİVLENMEK 2)GÜDÜ
Motor;MOTOR
Mountain;DAĞ
Mouse;FARE
Mouth;AĞIZ
Move;HAREKET ETMEK, ETTİRMEK
Movement;HAREKET
Much;ÇOK (miktarca)
Mud;ÇAMUR
Mud-Guard;ÇAMURLUK
Multiply;ÇARPMAK, ÇOĞALMAK
Murder;CİNAYET
Murmur;MIRILDANMAK,UĞULTU
Muscle;PAZU, KAS
Museum;MÜZE
Mushroom;MANTAR
Music;MÜZİK
Muslim;MÜSLÜMAN
Must;ZORUNLULUK
Mustard;HARDAL
Mute;1)SESİZ 2)DİLSİZ
Mutter;MIRILDANMAK, KISIK SESLE SÖYLENMEK
Mutual;MÜŞTEREK,İKİ TARAFLI (mutual friend=ortak arkadaş)
My;BENİM
Mystery;ESRAR, BİLİNMEZLİK
Nail;1.TIRNAK  2.ÇİVİ
Name;İSİM
Napkin;PEÇETE
Narrate;ANLATMAK, SÖYLEMEK
Narrow;DAR
Nasty;PİS, KÖTÜ KOKULU, HOŞ OLMAYAN
Nation;ULUS
National;ULUSAL
Native;YERLİ (her native language)
Natural;DOĞAL
Nature;DOĞA
Naughty;YARAMAZ (naughty child = yaramaz ρocuk)
Near;YAKIN
Necessary;GEREKLİ
Necessity;GEREKLİLİK
Neck;BOYUN, ENSE
Need;GEREKSİNİM, İHTİYAÇ
Needle;İĞNE, ŞİŞ
Needless;LÜZUMSUZ
Neglect;İHMAL ETMEK
Negotiate;GÖRÜŞMEK,MÜZAKERE
Neighbour;KOMŞU
Neither;HİÇBİRİ
Neither...Nor...;NE O..NE ÖBÜRÜ
Nephew;YEĞEN (erkek)
Nervous;SİNİRLİ
Nest;YUVA, KUŞ YUVASI
Net;1.AĞ  2.NET (brütün tersi)
Network;ŞEBEKE,ÇALIŞMA AĞI
Never;HİÇBİR ZAMAN ,ASLA
Nevertheless;BUNA RAĞMEN, HALA, AMA
New;YENİ
News;HABER
Newspaper;GAZETE
Next;EN YAKIN, BİR SONRAKİ, ERTESİ
Nice;HOŞ
Nickname;TAKILMIŞ AD, LAKAP
Niece;YEĞEN (kız)
Night;GECE
Nightmare;KABUS
Nil;SIFIR, BOŞLUK
No;HAYIR
Noble;SOYLU
Nobody;HİÇ KİMSE
Noise;GÜRÜLTÜ
Nominate;1)ADAY GÖSTERMEK(Başkan v.b) 2)ATAMAK,GÖREVLENDİRME
None;HİÇBİRİSİ
Nonsense;SAÇMA
Noon;ÖĞLE ZAMANI
Normal;NORMAL
North;KUZEY
Nose;BURUN
Not;DEĞİL
Note;1. NOT 2.KAĞIT PARA 3. NOTA
Nothing;HİÇBİR ŞEY
Notice;DUYURU, DİKKATİNİ ÇEKMEK
Notorious;KÖTÜ ÜNLÜ, KÖTÜ ÜN
Novel;ROMAN
November;KASIM
Now;ŞİMDİ
Nowadays;BUGÜNLERDE
Nowhere;HİÇ BİRYER
Nude;ÇIPLAK
Nuisance;SIKINTI, DERT
Number;SAYI, NUMARALANDIRMAK
Nurse;HEMŞİRE, HASTABAKICI
Nut;1.KURUYEMİŞ (fındık v.b) 2.SOMUN
Nylon;NAYLON
Oak;MEŞE
Oar;KÜREK
Oasis;VAHA
Obey;SÖZ DİNLEMEK, İTAAT ETMEK
Object;İTİRAZ ETMEK
Object;NESNE, OBJE, AMAÇ
Oblige;1)ZORUNLU KILMAK 2)MİNETTAR KILMAK3)YAPMAK,SAĞLAMAK
Observation;GÖZLEM
Observe;GÖZLEM YAPMAK
Obtain;TEDARİK ETMEK, SAĞLAMAK
Obvious;AŞİKAR
Occasion;VESİLE
Occupation;1.MESLEK  2.İŞGAL
Occupy;İŞGAL ETMEK, OTURMAK, KAPLAMAK, MEŞGUL ETMEK
Occur;OLMAK
Ocean;OKYANUS
October;EKİM (ayı )
Odd;TUHAF,ACAİP
Of;İYELİK EKİ, NIN
Off;YOK OLMAK, EKSİLMEK
Offence;1.YASADIŞI İŞ 2.SALDIRI, OFENS
Offend;KIZDIRMAK, İNCİTMEK (birini)
Offer;TEKLİF ETMEK
Office;OFİS
Officer;SUBAY, MEMUR
Official;RESMİ
Often;SIK SIK
Oil;YAĞ, PETROL
Okay (Ok);PEKİ, TAMAM
Old;ESKİ, YAŞLI
Old-Fashioned;ESKİ MODA
Omelette;OMLET
Omit;ATLAMAK, HARİÇ BIRAKMAK
On;ÜZERİNDE
Once;1.BİR KEZ 2.BİR AN ÖNCE
One;BİR
Onion;SOĞAN
Only;SADECE, YALNIZCA
Open;AÇIK, AÇMAK
Operate;ÇALIŞMAK
Operation;1.OPERASYON  2.AMELİYAT
Operator;OPERATÖR
Opinion;DÜŞÜNCE
Opportunity;FIRSAT
Opposite;ZIT,TERS
Optimist;İYİMSER
Option;SEÇME, SEÇENEK, OPSİYON
Or;VEYA
Oral;SÖZLÜ
Orange;1.PORTAKAL 2.TURUNCU
Orbit;YÖRÜNGE
Orchard;BOSTAN
Order;1.EMİR 2.SİPARİŞ 3.DÜZEN, SIRA
Ordinary;SIRADAN, NORMAL
Organ;1.ORG 2.ORGAN 3.ORGANİZASYON, KURULUŞ
Organize;ORGANİZE ETMEK
Origin;KÖKEN, ORİJİN
Original;ORJİNAL, İLK, YENİ
Other;DİĞER
Otherwise;1.BAŞKA TÜRLÜ  2.YOKSA,AKSİ TAKTİRDE
Ought;..MELİ ..MALI EKİ
Our;BİZİM
Out;DIŞARI
Outline;ANA HAT, ÖZETLEMEK
Out-Of-Date;MODASI GEÇMİŞ, ESKİ
Output;ÇIKTI
Outside;DIŞARI
Oval;OVAL
Oven;FIRIN
Over;1.ÜSTÜNDE  2.BİTMEK
Overcome;ÜSTESİNDEN GELMEK
Overdo;FAZLA PİŞİRMEK, FAZLA YAPMAK
Overdue;VADESİ GEÇMİŞ
Overtake;GEÇMEK, SOLLAMAK
Overtime;FAZLA MESAİ
Overwork;FAZLA ÇALIŞMAK, AŞIRI ÇALIŞMAK
Owe;BORÇLU OLMAK
Owl;BAYKUŞ
Own;SAHİP OLMAK
Owner;SAHİP
Ox;BOĞA
Oxygen;OKSİJEN
Oyster;İSTİRİDYE
Pack;PAKETLEMEK
Packed;KALABALIK, BİR SÜRÜ İNSAN
Packet;PAKET
Page;SAYFA
Pain;ACI, AĞRI
Painful;AĞRILI
Paint;BOYAMAK, BOYA
Painter;1.RESSAM  2.BOYACI
Pair;ÇİFT
Palace;SARAY
Pale;SOLUK,SOLGUN  (renk)
Palm;1)AVUÇ 2)PALMİYE AĞACI
Pan;TAVA
Panel;PANEL
Panic;PANİK
Pants;1)DON 2)PANTOLON (AmE)
Paper;1.KAĞIT 2.GAZETE 3.EVRAK, KİMLİK
Parachute;PARAŞÜT
Parade;RESMİ GEÇİT
Paradise;CENNET
Paragraph;PARAGRAF
Parcel;PARÇA
Pardon;PARDON
Parent;ANA BABA
Park;1.PARK 2.PARK ETMEK
Parliament;PARLAMENTO
Parrot;PAPAĞAN
Part;KISIM, BÖLÜM ,AYIRMAK
Participate;BAŞKALARIYLA BİRLİKTE ÇALIŞMA, OYNAMA, KATILMA
Particular;YALNIZ, ÖZEL, TİTİZ
Partner;1.ORTAK  2.PARTNER
Part-Time;YARIM GÜN
Party;PARTİ
Pass;GEÇMEK, GEÇİRMEK
Passage;PASAJ
