TERK ETMEK;Abandon
1.ATMACA 2.EL ARABASIYLA SATMAK, SEYYAR SATICILIK;Hawk
TEHLİKE, RİSK;Hazard
BAŞ, KAFA;Head
MERKEZ,KARARGAH;Head Quarters
BAŞ AĞRISI;Headache
BAŞLIK (Gazetede);Headline
KULAKLIK;Headphone
SAĞLIK;Health
SAĞLIKLI;Healthy
DUYMAK;Hear
1.KALP  2.KUPA (oyun kartlarında);Heart
ISI;Heat
ISITICI;Heater
CENNET;Heaven
AĞIR;Heavy
HEKTAR;Hectare
TOPUK;Heel
YÜKSEKLİK;Height
MİRASÇI;Heir
CEHENNEM;Hell
YARDIM, YARDIM ETMEK;Help
DİŞİ KUŞ, PİLİÇ;Hen
BURASI, BURADA, BURAYA;Here
MİRAS;Heritage
KAHRAMAN;Hero
DURAKSAMAK, TEREDDÜT ETMEK;Hesitate
HIÇKIRIK;Hiccup
SAKLANMAK, SAKLAMAK;Hide
YÜKSEK;High
KORSANLIK YAPMAK (uçak,araba,v.s.);Hijack
KORSAN, EŞKIYA;Hijacker
TEPE, YOKUŞ;Hill
1)MENTEŞE 2)DAYANAK NOKTASI, DESTEK, ESAS;Hinge
KİRALAMAK (taşınabilir nesneleri,araba,TV, v.b );Hire
TARİH;History
DARBE, ÇARPMAK, POPÜLER (hit);Hit
OTOSTOP YAPMAK;Hitch-Hike
HOBİ;Hobby
TUTMAK, KAVRAMAK;Hold
BEKLE;Hold On
DELİK;Hole
TATİL GÜNÜ;Holiday
BOŞ (bir cismin arkası boş olması davul,duvar v.b);Hollow
KUTSAL;Holy
EV, YUVA;Home
SILA HASRETİ;Homesick
DÜRÜST;Honest
BAL;Honey
BALAYI;Honeymoon
ONUR;Honour
ÇENGEL, KANCA;Hook
SIÇRAMAK, ZIPLAMAK ,SEKMEK;Hop
UMUT;Hope
UMUTSUZ;Hopeless
UFUK;Horizon
YATAY;Horizontal
1.BOYNUZ 2.KORNA;Horn
KORKUNÇ;Horrible
AT;Horse
HORTUM;Hose
HASTANE;Hospital
EV SAHİBİ (konukları olan);Host
ESİR, REHİNE;Hostage
ÖĞRENCİ, TURİST KONAKLAMA YERİ;Hostel
1.SICAK 2.ACI ( yemekte );Hot
OTEL;Hotel
SAAT;Hour
SAAT BAŞI;Hourly
EV;House
EV HANIMI;Housewife
HAVADA KALMAK;Hover
NASIL;How
HER ŞEKİLDE;However
GÜRÜLTÜ;Hubbub
SARILMAK,KUCAKLAMAK;Hug
ÇOK BÜYÜK;Huge
VIZILDAMAK, DUDAK KAPALI ŞARKI SÖYLEMEK;Hum
İNSAN, BEŞERİ;Human
ALÇAK GÖNÜLLÜ;Humble
GÜLDÜRÜ, MİZAH;Humour
AÇ;Hungry
AVLAMAK;Hunt
ACELE ETMEK;Hurry
YARALAMAK, YARALANMAK;Hurt
KOCA, ERKEK EŞ;Husband
SAKİNLİK,SESSİZLİK,SUS;Hush
KULÜBE, BARAKA;Hut
BUZ;Ice
DONDURMA;Ice-Cream
ÇOK SOĞUK, BUZLU;Icy
FİKİR;Idea
YETKİN, İDEAL;Ideal
ÖZDEŞ, ÇOK BENZEYEN, AYNI;Identical
BELİRLEMEK, TANIMLAMAK, TANIMAK, BELİRTMEK;Identify
APTAL;Idiot
ATIL, BOŞ;Idle
EĞER;If
1)TUTUŞMA, ATEŞLEME, ATEŞ ALMA 2)ATEŞLEME TERTİBATI;Ignition
ÖNEMSEMEMEK;Ignore
HASTA, HASTALIK;Ill
KANUNSUZ;Illegal
RESİMLE GÖSTERMEK;Illustrate
HAYAL, İMAJ;Image
TASAVVUR, HAYAL;Imagination
TASAVVUR ETMEK, HAYAL ETMEK;Imagine
ÖRNEK ALMAK, TAKLİT ETMEK;Imitate
TAKLİT;Imitation
ANINDA, DERHAL;Immediate
ÇOK BÜYÜK;Immense
GÖÇMEN;Immigrate
AHLAKSIZ, EDEPSİZ;Immoral
BOZMAK;Impair
SABIRSIZ;Impatient
1)YÜRÜRLÜĞE KOYMAK 2)ALET;Implement
İMA ETME;Imply
KABA, NAZİK DEĞİL;Impolite
İTHAL ETMEK;Import
ÖNEM;Importance
ÖNEMLİ;Important
OLANAKSIZ;Impossible
ETKİLEMEK;Impress
ETKİLEMEK;Impress
ETKİ;Impression
ETKİLİ,ETKİLEYİCİ;Impressive
GELİŞMEK, İYİYE GİTMEK;Improve
GELİŞME;Improvement
1.İÇİNDE, İÇERİ, İÇERDE, İÇERİYE  2.POPÜLER;In
AMACIYLA, MAKSADIYLA;In Order To
TEŞVİK;Incentive
OLAY (önemsiz olay);Incident
BUNUN YANINDA (=By the way);Incidentally
KAPSAMAK;Include
GELİR;Income
HATALI, YANLIŞ;Incorrect
ARTMAK;Increase
İNANILMAZ, BÜYÜLEYİCİ;Incredible
GERÇEKTEN;Indeed
BELİRSİZ;Indefinite
SONSUZ, SÜRESİZ;Indefinitely
1)TAZMİNAT ÖDEMEK, SÖZ VERMEK, ZARARI KARŞILAMAK;Indemnify
TAZMİNAT;Indemnity
BAĞIMSIZ;Independent
İNDEX;Index
GÖSTERMEK, İŞARET ETMEK;Indicate
AYRI, BİREY, FERT, KİMSE;Individual
EV İÇİNDE, İÇERDE;Indoor
ÇEKİ CIRO ETMEK,ONAYLAMAK;Indorse
ENDÜSTRİ;Industry
KAÇINILMAZ, HERHALDE OLAN;Inevitable
AŞAĞILIK;Inferior
SONSUZ;Infinite
ATEŞ ALABİLİR;Inflammable
ŞİŞMEK;Inflate
ENFLASYON;Inflation
EĞİLMESİ ZOR, BÜKÜLMEZ, İNATÇI;Inflexible
ETKİ, ETKİLEMEK;Influence
BİLGİ VERMEK;Inform
RESMİ OLMAYAN,GAYRI RESMİ;Informal
BİLGİ, ENFORMASYON;Information
İLK HARF, BİRİNCİ, BAŞTAKİ,PARAF;Initial
İLK HAREKET,BAŞLATMA,İNSİYATİF(Take the initiative);Initiative
ŞIRINGA YAPMAK;Inject
İNCİTMEK;Injure
MÜREKKEP;Ink
1.HAN  2.MOTEL;Inn
SUÇSUZ, MASUM;Innocent
ARAŞTIRMAK;Inquire
SORU;Inquiry
BÖCEK;Insect
EMNİYETSİZ;Insecure
İÇERİSİ;Inside
ISRAR ETMEK;Insist
MÜFLİS;Insolvent
İNCELEMEK;Inspect
MÜFETTİŞ;Inspector
AKLA, FİKRE GETİRME, ESİNLEME, İLHAM GELMESİ;Inspire
YERLEŞTİRMEK;Install
ÖRNEK;Instance
HIZLI,DERHAL;Instant
YERİNE;Instead Of
ENSTİTÜ,KURULUŞ;Institute
YÖNERGE,TALİMAT;Instruction
ENSTRÜMAN;Instrument
İZOLE ETMEK;Insulate
HAKARET ETME, ONUR KIRMA;Insult
MANEVİ,MADDİ OLMAYAN,INTANGIBLE ASSET=MADDİ,VARLIK;Intangible
ZEKİ;Intelligent
PLANLAMAK, MAKSAT, NİYET;Intend
DERİN ÜZÜNTÜ, GÜÇLÜ DUYGU;Intense
YOĞUN (Labour intensive:Emek yoğun);Intensive
PLAN;Intention
1.İLGİ DUYMAK, ENTERESE OLMAK 2. FAİZ;Interest
İLGİNÇ;Interesting
1)KARIŞMA MÜDAHELE ETME 2)PARAZİT YAPMA (tv,radyo);Interfere
ARADA;Intermediate
ULUSLARARASI;International
ÇEVİRİ, YORUMLAMAK;Interpret
DURDURMAK, KESMEK(bir süre için), ARAYA GİRMEK;Interrupt
ARALIK, ARA;Interval
RÖPORTAJ, GÖRÜŞME;Interview
BAĞIRSAKLAR;Intestines
İÇİNE;Into
TANIŞTIRMAK;Introduce
İSTİLA ETMEK;Invade
GEÇERSİZ;Invalid
İCAT ETMEK, YARATMAK;Invent
YATIRIM YAPMAK;Invest
ARAŞTIRMA YAPMAK,ÇALIŞMAK;Investigate
DAVET ETMEK;Invite
FATURA;Invoice
İŞE DALMAK,KARIŞMAK,GEREKTİRMEK,İÇERMEK;Involve
1.DEMİR  2.ÜTÜ;Iron
TAM AKSİ OLMA,İNADINA(İnadına tatilde yağmur yağdı.);Ironically
DÜZENSİZ;Irregular
KIZDIRMAK, SİNİRLENDİRMEK, TAHRİŞ ETMEK (deri vb.);Irritate
ADA;Island
1.BASKI 2.KONU 3.VERMEK;Issue
O (cansız ve üçüncü tekil şahıs zamiri);It
KAŞINDIRMAK;Itch
BİRİM;Item
1)KRİKO 2)VALE (Oyun kağıdında) 3)TORPİL YAPTIRMAK;Jack
ÇAKAL;Jackal
CEKET;Jacket
JAGUAR;Jaguar
HAPİS;Jail
1.REÇEL 2.SIKIŞIKLIK  (tfaffic jam );Jam
OCAK ( ayı );January
KAVANOZ;Jar
1.ÇENE KEMİĞİ  2.ÇENE ÇALMAK,KONUŞMAK;Jaw
CAZ;Jazz
KISKANÇ;Jealous
JİN, KOT PANTOLON (Pamuklu);Jeans
JÖLE;Jelly
DENİZANASI, MEDÜS, SU MEDÜSÜ;Jellyfish
JET, FIŞKIRMAK;Jet
MÜCEVHER;Jewel
İŞ;Job
COKEY;Jockey
BİRLEŞTİRMEK, BİRLEŞMEK;Join
BİRLEŞİK;Joint
ŞAKA;Joke
ÇOK;Jolly
GAZETE,DERGİ;Journal
GAZETECİ;Journalist
YOLCULUK;Journey
MUTLULUK,EĞLENCE;Joy
JÜBİLE;Jubilee
1.HAKİM  2.YARGILAMAK;Judge
YARGI;Judgement
SU (meyve suyu v.s.);Juice
TEMMUZ;July
SIÇRAMAK, ATLAMAK;Jump
HAZİRAN;June
JÜRİ;Jury
1.YALNIZ  2.HEMEN ŞİMDİ;Just
ADALET;Justice
KESKİN (Keen on:hoşlanmak);Keen
KORUMAK, TUTMAK, DEVAM ETMEK;Keep
KETÇAP;Ketchup
ANAHTAR;Key
TEKME, TEKMELEMEK;Kick
1.ÇOCUK  2.DALGA GEÇMEK  3.GENÇ KEÇİ;Kid
ZORLA KAÇIRMAK (İnsan, hayvan vb.);Kidnap
BÖBREK;Kidney
ÖLDÜRMEK;Kill
AİLE, AKRABA;Kin
1. İYİ, DOST, SEVGİLİ 2.ÇEŞİT, TÜR;Kind
KRAL;King
KRALLIK;Kingdom
ÖPÜCÜK, ÖPMEK;Kiss
MUTFAK;Kitchen
DİZ, DİZ ÇÖKMEK;Knee
BIÇAK;Knife
SİLAHŞÖR, ŞOVALYE, SATRANÇTA AT;Knight
TOKMAK, TUTACAK;Knob
VURMAK (kapıya vurmak);Knock
DÜĞÜM, DÜĞÜM ATMAK;Knot
BİLMEK;Know
BİLGİ;Knowledge
ETİKET;Label
LABORATUVAR;Laboratory
İŞ(elle yapılan zor iş),İŞGÜCÜ;Labour
EKSİKLİK;Lack
MERDİVEN;Ladder
KEPÇE (Yemek);Ladle
HANIMEFENDİ;Lady
GÖL;Lake
KUZU, KUZU, KOYUN ETİ;Lamb
TOPAL;Lame
LAMBA;Lamp
SOKAK LAMBASI;Lamppost
ABAJUR;Lampshade
KARA,ARAZİ;Land
İNİŞ YAPMAK, KONMAK (uçak v.s.);Land
EVSAHİBİ BAYAN, EVİNİ KİRAYA VEREN;Landlady
DAR YOL, ŞERİT (Oto yolda vb.);Lane
DİL ( yabancı dil v.b );Language
GENİŞ;Large
KAMÇI, BİRŞEYİ ANİ VE HIZLI SALLAMAK;Lash
SON, SONUNDA, GEÇMİŞ;Last
DEVAM ETMEK, SÜRMEK, YETERLİ OLMAK;Last
1.GEÇ  2.SONU (late september=eylül sonu v.b);Late
GÜLMEK;Laugh
BİRŞEYE BAŞLAMAK, ROKET FIRLATMAK;Launch
YIKANACAK ÇAMAŞIR, ÇAMAŞIRHANE;Laundry
ÇAMAŞIR SEPETİ;Laundry-Basket
TUVALET;Lavatory
YASA, KANUN;Law
YASAL;Lawful
AVUKAT;Lawyer
KOYMAK(bir şeyin üstüne), YATIRMAK;Lay
TEMBEL;Lazy
1.KURŞUN (metal)  2.KURŞUN KALEM UCU;Lead
ÖNDERLİK ETMEK,ÖNDE GİTMEK,  YOL GÖSTERMEK;Lead
ÖNDER, LİDER;Leader
ÖNDERLİK;Leadership
YAPRAK;Leaf
BİRLİK, LİG;League
AKINTI, SIZMAK;Leak
1.İNCE, YAĞSIZ 2.EĞİLMEK YASLANMAK;Lean
ÖĞRENMEK;Learn
BELİRLİ BİR ZAMAN İÇİN KİRALAMA;Lease
EN AZ;Least
DERİ;Leather
TERK ETMEK;Leave
DERS, KONFERANS VERMEK;Lecture
1.SOL 2.KALAN;Left
BACAK;Leg
MİRAS;Legacy
YASAL;Legal
LİMON;Lemon
ÖDÜNÇ VERMEK;Lend
UZUNLUK;Length
LENS;Lens
DAHA AZ;Less
DERS;Lesson
BIRAKMAK;Let
MEKTUP, HARF;Letter
MEKTUPLUK;Letter Box
SALATA, KIVIRCIK;Lettuce
DÜZEY, SEVİYE;Level
KALDIRAÇ, MANİVALA;Lever
YALANCI;Liar
LİBERAL;Liberal
SERBEST OLMAK;Liberty
KİTAPLIK, KÜTÜPHANE;Library
LİSANS (ehliyet v.b );Licence
YALAMAK;Lick
KAPAK;Lid
YALAN, YALAN SÖYLEMEK;Lie
YATMAK;Lie
YAŞAM, HAYAT;Life
1.ASANSÖR 2.YUKARI KALDIRMAK;Lift
1.IŞIK 2.AÇIK (renklerde) 3.HAFİF;Light
ÇAKMAK;Lighter
1. HOŞLANMAK  2.GİBİ;Like
BÜYÜK OLASILIKLA;Likely
HAT, SINIR, LİMİT;Limit
ÇİZGİ, SATIR, SIRA;Line
BİRLEŞTİRMEK;Link
DUDAK;Lip
SIVI;Liquid
TASFİYE ETMEK, ÖLDÜRME, KURTULMAK, BAŞINDAN ATMAK;Liquidate
LİSTE;List
DİNLEMEK;Listen
EDEBİYAT;Literature
ÇÖP,DAĞINIKLIK;Litter
KÜÇÜK;Little
CANLI;Live
YAŞAMAK;Live
KARACİĞER;Liver
YAŞAMLAR;Lives
YAŞAM BİÇİMİ;Living
YÜK, YÜKLEMEK,SİLAH DOLDURMAK;Load
BÜTÜN EKMEK, VAKTİ BOŞA GEÇİRMEK;Loaf
ÖDÜNÇ VERMEK, BORÇ VERMEK, BORÇ;Loan
İSTAKOZ;Lobster
BÖLGESEL, YEREL;Local
KURMAK,YERLEŞTİRMEK;Locate
KİLİTLEMEK, KİLİT;Lock
YALNIZ, KİMSESİZ;Lonely
UZUN;Long
BAKMAK, BAKIŞ;Look
BOL, BAĞSIZ;Loose
KAMYON;Lorry
KAYBETMEK;Lose
KAYIP, ZARAR;Loss
ÇOK;Lot
YÜKSEK SESLİ;Loud
SEVGİ,AŞK;Love
SEVİMLİ;Lovely
ALÇAK, DÜŞÜK;Low
AŞAĞIYA İNDİRMEK;Lower
SADIK;Loyal
SADAKAT,BAĞLILIK;Loyalty
ŞANS;Luck
ŞANSLI;Lucky
VALİZ, YÜK;Luggage
ÖĞLE YEMEĞİ;Lunch
AKCİĞER;Lung
LÜKS;Luxury
MAKİNE;Machine
MAKİNELİ TÜFEK;Machine-Gun
DELİ;Mad
MADAM, BAYAN;Madam
1)SİLAH DEPOSU 2)MAGAZİN 3)ŞARJÜR (SİLAHIN);Magazine
BÜYÜ;Magic
MIKNATIS;Magnet
AZAMET, İHTİŞAM;Magnificent
BÜYÜTEÇ;Magnifying-Glass
KADIN HİZMETÇİ;Maid
POSTA;Mail
ANA, ESAS;Main
1)BAKIM ONARIM 2)ESKİ HALİNDE KORUMA 3)DESTEKLEME;Maintain
1)BÜYÜK, ÖNEMLİ 2)BİNBAŞI (ORDUDA);Major
ÇOĞUNLUK;Majority
1.YAPMAK  2.ÇEŞİT;Make
1.MAKYAJ  2.UYDURMAK;Make-Up
ERKEK;Male
ADAM;Man
YÖNETMEK, KONTROL ETMEK;Manage
YÖNETİM, İDARE;Management
YÖNETİCİ, MENAJER;Manager
MANYAK;Maniac
TAVIR, GÖRGÜ;Manner
EL İLE YAPILAN;Manual
ÜRETMEK (Fab. vb);Manufacture
BİRÇOK;Many
HARİTA;Map
1.MARŞ 2.YÜRÜYÜŞ 3.MART (ayı);March
MARJ, KATKI;Margin
İŞARETLEMEK, İŞARET;Mark
PAZAR, PİYASA;Market
MARMELAT;Marmalade
EVLENMEK;Marry
ŞAHANE, HARİKA;Marvellous
MASKE;Mask
KÜTLE, KİTLE, KALABALIK;Mass
KATLİAM, KATLİAM YAPMAK;Massacre
ÇOK BÜYÜK VE AĞIR;Massive
UZMAN, ŞEF, SAHİP, HOCA;Master
HASIR, PASPAS;Mat
1.UYMAK, UYUŞMAK 2.MAÇ 3.KİBRİT;Match
ARKADAŞ;Mate
MALZEME, KUMAŞ;Material
MATEMATİK;Mathematics
1.MESELE  2.ÖNEMLİ OLMAK;Matter
YATAK, SEDİR;Mattress
1)OLGUN,ERGİN(Hayvan,meyve,insan)2)VADESİ GELEN(Ödem;Mature
OLGUNLUK ZAMANI, VADE ZAMANI;Maturity
MAKSİMUM, AZAMİ;Maximum
1.MAYIS 2.MAY BE = BELKİ;May
BANA, BEN;Me
ÇAYIR, MERA;Meadow
YEMEK;Meal
1.ANLAMINA GELMEK,İSTEMEK,PLANLAMAK 2.CİMRİ;Mean
ORTALAMA;Mean
ANLAM;Meaning
1.STİL, YOL, YARDIM  2.PARA;Means
BU ARADA;Meantime
BU ARADA, AYNI ANDA;Meanwhile
ÖLÇÜ;Measure
ET;Meat
MEKANİK;Mechanic
1)MAKİNİST,MAKİNA USTASI2)EL SANATLARINA AİT3)MEKANİ;Mechanic
MADALYA;Medal
TIBBİ;Medical
İLAÇ, TIP;Medicine
BULUŞMAK, KARŞILAMAK;Meet
TOPLANTI, MİTİNG;Meeting
EZGİ, MELODİ;Melody
KAVUN;Melon
ERİMEK;Melt
ÜYE;Member
UNUTULMAYACAK;Memorable
NOT;Memorandum
BİR KİŞİNİN ANISINA YAPILAN YAPIT;Memorial
EZBERLEMEK;Memorize
HAFIZA;Memory
ADAMLAR;Men
TAMİR ETMEK;Mend
ZİHİNSEL;Mental
BAHSETMEK;Mention
TÜCCAR;Merchant
MERHAMET;Mercy
SADECE,YALNIZCA;Mere
SADECE, ANCAK;Merely
BİRLEŞEREK KAYBOLMA, KONSOLİDASYON (Şirket, devlet);Merge
HAKETMEK, DEĞMEK;Merit
MUTLU;Merry
KARGAŞALIK,DAĞINIKLIK;Mess
MESAJ;Message
METAL;Metal
ÖLÇEK;Meter
METOT;Method
METRE;Metre
FARELER;Mice
ORTA;Middle
GECE YARISI (24:00);Midnight
1)KUVVET,KUDRET 2)BELKİ (Might be:Az ihtimalli.);Might
MİKROFON;Mike
1)HAFİF 2)YUMUŞAK 2)ILIK;Mild
ASKERİ;Military
SÜT;Milk
1.DEĞİRMEN 2.İMALATHANE;Mill
DARI;Millet
MİLYONER;Millionaire
TAKLİT ETMEK (birini);Mimic
KIYMA (Et vb.), KIYMAK;Mince
AKIL;Mind
BİRİNE BAKMAK,DERT ETMEK;Mind
1.BENİM 2.MADEN OCAĞI 3.MAYIN;Mine
ENAZ;Minimum
1.BAKAN 2.BÜYÜKELÇİ YARDIMCISI;Minister
ÖNEMSİZ, UFAK, MİNÖR;Minor
AZINLIK;Minority
EKSİ  ( - );Minus
1.DAKİKA 2.ÇOK KÜÇÜK 3.ZABIT;Minute
MUCİZE;Miracle
AYNA;Mirror
HASİS, CİMRİ;Miser
SEFİL;Miserable
SEFALET;Misery
NEREYE KOYDUĞUNU UNUTMAK;Mislay
1.ÖZLEMEK 2.KAÇIRMAK,KAYIP;Miss
BAYAN;Miss
FÜZE, FIRLATILAN CİSİM;Missile
ÖZEL BİR GÖREV İÇİN YOLCULUK,MİSYON;Mission
HATA;Mistake
YANLIŞ ANLAMAK;Misunderstand
KARIŞTIRMAK, KARIŞMAK;Mix
OYNAK,HAREKETLİ;Mobile
MODEL (model araba,manken v.b);Model
ILIMLI, ORTADA;Moderate
MODERN, ÇAĞDAŞ;Modern
ALÇAKGÖNÜLLÜ, ILIMLI;Modest
NEM;Moisture
1)KÖSTEBEK 2)VÜCUTTAKİ BEN;Mole
AN;Moment
PAZARTESİ;Monday
PARA;Money
MAYMUN;Monkey
AY (takvim ayı);Month
ANIT, ABİDE;Monument
MİZAÇ, RUH HALİ;Mood
AY;Moon
AHLAK;Moral
MORAL;Morale
DAHA FAZLA;More
SABAH;Morning
İPOTEK;Mortgage
CAMİ;Mosque
SİVRİSİNEK;Mosquito
YOSUN (Nemli yerlerde oluşan);Moss
EN ÇOK;Most
ANNE;Mother
HAREKET, ÖNERME;Motion
1)MOTİVLENMEK 2)GÜDÜ;Motive
MOTOR;Motor
DAĞ;Mountain
FARE;Mouse
AĞIZ;Mouth
HAREKET ETMEK, ETTİRMEK;Move
HAREKET;Movement
ÇOK (miktarca);Much
ÇAMUR;Mud
ÇAMURLUK;Mud-Guard
ÇARPMAK, ÇOĞALMAK;Multiply
CİNAYET;Murder
MIRILDANMAK,UĞULTU;Murmur
PAZU, KAS;Muscle
MÜZE;Museum
MANTAR;Mushroom
MÜZİK;Music
MÜSLÜMAN;Muslim
ZORUNLULUK;Must
HARDAL;Mustard
1)SESİZ 2)DİLSİZ;Mute
MIRILDANMAK, KISIK SESLE SÖYLENMEK;Mutter
MÜŞTEREK,İKİ TARAFLI (mutual friend=ortak arkadaş);Mutual
BENİM;My
ESRAR, BİLİNMEZLİK;Mystery
1.TIRNAK  2.ÇİVİ;Nail
İSİM;Name
PEÇETE;Napkin
ANLATMAK, SÖYLEMEK;Narrate
DAR;Narrow
PİS, KÖTÜ KOKULU, HOŞ OLMAYAN;Nasty
ULUS;Nation
ULUSAL;National
YERLİ (her native language);Native
DOĞAL;Natural
DOĞA;Nature
YARAMAZ (naughty child = yaramaz ρocuk);Naughty
YAKIN;Near
GEREKLİ;Necessary
GEREKLİLİK;Necessity
BOYUN, ENSE;Neck
GEREKSİNİM, İHTİYAÇ;Need
İĞNE, ŞİŞ;Needle
LÜZUMSUZ;Needless
İHMAL ETMEK;Neglect
GÖRÜŞMEK,MÜZAKERE;Negotiate
KOMŞU;Neighbour
HİÇBİRİ;Neither
NE O..NE ÖBÜRÜ;Neither...Nor...
YEĞEN (erkek);Nephew
SİNİRLİ;Nervous
YUVA, KUŞ YUVASI;Nest
1.AĞ  2.NET (brütün tersi);Net
ŞEBEKE,ÇALIŞMA AĞI;Network
HİÇBİR ZAMAN ,ASLA;Never
BUNA RAĞMEN, HALA, AMA;Nevertheless
YENİ;New
HABER;News
GAZETE;Newspaper
EN YAKIN, BİR SONRAKİ, ERTESİ;Next
HOŞ;Nice
TAKILMIŞ AD, LAKAP;Nickname
YEĞEN (kız);Niece
GECE;Night
KABUS;Nightmare
SIFIR, BOŞLUK;Nil
HAYIR;No
SOYLU;Noble
HİÇ KİMSE;Nobody
GÜRÜLTÜ;Noise
1)ADAY GÖSTERMEK(Başkan v.b) 2)ATAMAK,GÖREVLENDİRME;Nominate
HİÇBİRİSİ;None
SAÇMA;Nonsense
ÖĞLE ZAMANI;Noon
NORMAL;Normal
KUZEY;North
BURUN;Nose
DEĞİL;Not
1. NOT 2.KAĞIT PARA 3. NOTA;Note
HİÇBİR ŞEY;Nothing
DUYURU, DİKKATİNİ ÇEKMEK;Notice
KÖTÜ ÜNLÜ, KÖTÜ ÜN;Notorious
ROMAN;Novel
KASIM;November
ŞİMDİ;Now
BUGÜNLERDE;Nowadays
HİÇ BİRYER;Nowhere
ÇIPLAK;Nude
SIKINTI, DERT;Nuisance
SAYI, NUMARALANDIRMAK;Number
HEMŞİRE, HASTABAKICI;Nurse
1.KURUYEMİŞ (fındık v.b) 2.SOMUN;Nut
NAYLON;Nylon
MEŞE;Oak
KÜREK;Oar
VAHA;Oasis
SÖZ DİNLEMEK, İTAAT ETMEK;Obey
İTİRAZ ETMEK;Object
NESNE, OBJE, AMAÇ;Object
1)ZORUNLU KILMAK 2)MİNETTAR KILMAK3)YAPMAK,SAĞLAMAK;Oblige
GÖZLEM;Observation
GÖZLEM YAPMAK;Observe
TEDARİK ETMEK, SAĞLAMAK;Obtain
AŞİKAR;Obvious
VESİLE;Occasion
1.MESLEK  2.İŞGAL;Occupation
İŞGAL ETMEK, OTURMAK, KAPLAMAK, MEŞGUL ETMEK;Occupy
OLMAK;Occur
OKYANUS;Ocean
EKİM (ayı );October
TUHAF,ACAİP;Odd
İYELİK EKİ, NIN;Of
YOK OLMAK, EKSİLMEK;Off
1.YASADIŞI İŞ 2.SALDIRI, OFENS;Offence
KIZDIRMAK, İNCİTMEK (birini);Offend
TEKLİF ETMEK;Offer
OFİS;Office
SUBAY, MEMUR;Officer
RESMİ;Official
SIK SIK;Often
YAĞ, PETROL;Oil
PEKİ, TAMAM;Okay (Ok)
ESKİ, YAŞLI;Old
ESKİ MODA;Old-Fashioned
OMLET;Omelette
ATLAMAK, HARİÇ BIRAKMAK;Omit
ÜZERİNDE;On
1.BİR KEZ 2.BİR AN ÖNCE;Once
BİR;One
SOĞAN;Onion
SADECE, YALNIZCA;Only
AÇIK, AÇMAK;Open
ÇALIŞMAK;Operate
1.OPERASYON  2.AMELİYAT;Operation
OPERATÖR;Operator
DÜŞÜNCE;Opinion
FIRSAT;Opportunity
ZIT,TERS;Opposite
İYİMSER;Optimist
SEÇME, SEÇENEK, OPSİYON;Option
VEYA;Or
SÖZLÜ;Oral
1.PORTAKAL 2.TURUNCU;Orange
YÖRÜNGE;Orbit
BOSTAN;Orchard
1.EMİR 2.SİPARİŞ 3.DÜZEN, SIRA;Order
SIRADAN, NORMAL;Ordinary
1.ORG 2.ORGAN 3.ORGANİZASYON, KURULUŞ;Organ
ORGANİZE ETMEK;Organize
KÖKEN, ORİJİN;Origin
ORJİNAL, İLK, YENİ;Original
DİĞER;Other
1.BAŞKA TÜRLÜ  2.YOKSA,AKSİ TAKTİRDE;Otherwise
..MELİ ..MALI EKİ;Ought
BİZİM;Our
DIŞARI;Out
ANA HAT, ÖZETLEMEK;Outline
MODASI GEÇMİŞ, ESKİ;Out-Of-Date
ÇIKTI;Output
DIŞARI;Outside
OVAL;Oval
FIRIN;Oven
1.ÜSTÜNDE  2.BİTMEK;Over
ÜSTESİNDEN GELMEK;Overcome
FAZLA PİŞİRMEK, FAZLA YAPMAK;Overdo
VADESİ GEÇMİŞ;Overdue
GEÇMEK, SOLLAMAK;Overtake
FAZLA MESAİ;Overtime
FAZLA ÇALIŞMAK, AŞIRI ÇALIŞMAK;Overwork
BORÇLU OLMAK;Owe
BAYKUŞ;Owl
SAHİP OLMAK;Own
SAHİP;Owner
BOĞA;Ox
OKSİJEN;Oxygen
İSTİRİDYE;Oyster
PAKETLEMEK;Pack
KALABALIK, BİR SÜRÜ İNSAN;Packed
PAKET;Packet
SAYFA;Page
ACI, AĞRI;Pain
AĞRILI;Painful
BOYAMAK, BOYA;Paint
1.RESSAM  2.BOYACI;Painter
ÇİFT;Pair
SARAY;Palace
SOLUK,SOLGUN  (renk);Pale
1)AVUÇ 2)PALMİYE AĞACI;Palm
TAVA;Pan
PANEL;Panel
PANİK;Panic
1)DON 2)PANTOLON (AmE);Pants
1.KAĞIT 2.GAZETE 3.EVRAK, KİMLİK;Paper
PARAŞÜT;Parachute
RESMİ GEÇİT;Parade
CENNET;Paradise
PARAGRAF;Paragraph
PARÇA;Parcel
PARDON;Pardon
ANA BABA;Parent
1.PARK 2.PARK ETMEK;Park
PARLAMENTO;Parliament
PAPAĞAN;Parrot
KISIM, BÖLÜM ,AYIRMAK;Part
BAŞKALARIYLA BİRLİKTE ÇALIŞMA, OYNAMA, KATILMA;Participate
YALNIZ, ÖZEL, TİTİZ;Particular
1.ORTAK  2.PARTNER;Partner
YARIM GÜN;Part-Time
PARTİ;Party
GEÇMEK, GEÇİRMEK;Pass
PASAJ;Passage
YOLCU;Passenger
PASİF, EYLEMSİZ;Passive
PASAPORT;Passport
PAROLA;Password
GEÇMİŞ;Past
MAKARNA (Hamurdan yapılan şeyler);Pasta
